Variable name,Description in Spanish,Description in English,,,,,,,
,,,,,,,,,
COMUNIDAD1,nombre de la comunidad,name of the community,,,,,,,
,,,,,,,,,
CODIGO PARTICIPANTE,codigo unico  participante,participant code,,,,,,,
,,,,,,,,,
NOMBRES_APELLIDOS,nombre completo,complete name,,,,,,,
,,,,,,,,,
FECHA_NAC,fecha de nacimiento,date of birth,,,,,,,
,,,,,,,,,
SEXO,sexo,sex,0,Women,1,Men,,,
,,,,,,,,,
FECHA_INTERV,fecha de intervencion o fecha de visita,date of visit or date of intervention,,,,,,,
,,,,,,,,,
EDAD,edad años / edad meses,age in years or months,,,,,,,
,,,,,,,,,
PESO,peso en kilogramos,weight (kilograms),,,,,,,
,,,,,,,,,
TALLA,talla en centimetros,height (centimeters),,,,,,,
,,,,,,,,,
Hb,Hemoglobina,hemoglobin,,,,,,,
,,,,,,,,,
ANEMIA,Anemia (Clasificado según edad y sexo),anemia (classified according to age and sex),1,Yes,0,No,,,
,,,,,,,,,
Ascaris,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
Blastocystis ,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
Giardia,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
Trichuris ,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
Uncinaria,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
Strongyloides,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
Enterobius,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
Hymenolepis_nana,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
Trematodo,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
Capillaria,positivo a este Parasito (presente en la muestra de heces) ,positive for this paraiste (present in feces sample),1,Yes,0,No,-1,No sample,
,,,,,,,,,
episodio_EDA_ultSem_2022,episodio de diarrea en la ultima semana,episode of diarrhea in the past week,1,Yes,0,No,,,
,,,,,,,,,
#DiasEDA_2022,numero de dias con diarrea de la ultima semana,number of days with diarrhea in the past week,,numero de dias enfermo,,,,,
,,,,,,,,,
continua_enfermo,continua hasta hoy con diarrea,continuing until today with diarrhea,1,Yes,0,No,,,
,,,,,,,,,
Acuosa,tipo de diarrea - como agua,type of diarrhea - like water,1,Yes,0,No,,,
,,,,,,,,,
Disenterica,tipo de diarrea - con presencia de moco y sangre,type of diarrhea - with mucus and blood,1,Yes,0,No,,,
,,,,,,,,,
Posta,acudio al Establecimiento de Salud por este episodio de diarrea.,,1,Yes,0,No,,,
,,,,,,,,,
episodio_Resp_ultSem,episodio de enfermedad respiratoria en la ultima semana,episode of respiratory illness in the last week,1,Yes,0,No,,,
,,,,,,,,,
duracion_dias,numero de dias con esta enfermedad respiratoria de la ultima semana,number of days with this respiratory illness in the last week,,numero de dias enfermo,,,,,
,,,,,,,,,
continua_Enfermo,continua hasta hoy con enfermedad respiratoria,continuing until today with respiratory illness,1,Yes,0,No,,,
,,,,,,,,,
Posta,acudio al Establecimiento de Salud por esta enfermedad respiratoria,,1,Yes,0,No,,,
,,,,,,,,,
Tomas_aguahervida,bebe agua que ha hervido previamente,drinks water that has been boiled,1,Yes,0,No,,,
,,,,,,,,,
Tomas_aguacruda,bebe agua sin tratamiento ,drinks untreated water,1,Yes,0,No,,,
,,,,,,,,,
de_donde_aguario,bebe agua sin tratamiento del rio ,drinks untreated water from river,1,Yes,0,No,,,
,,,,,,,,,
de_donde_aguapileta,bebe agua de la pileta,drinks water from the sink,1,Yes,0,No,,,
,,,,,,,,,
de_donde_aguaquebrada,bebe agua sin tratamiento de la quebrada,drinks untreated water from the brook,1,Yes,0,No,,,
,,,,,,,,,
de_donde_aguaotro,bebe agua sin tratamiento de cualquier otra fuente,drinks untreated water from another source,,,,,,,
,,,,,,,,,
defeca_campo,realiza sus deposiciones en el campo abierto,defecates in open field,1,Yes,0,No,2,yard,Sometimes
,,,,,,,,,
defeca_letrina,realiza sus deposiciones en la letrina,defecates in the latrine,1,Yes,0,No,,,
,,,,,,,,,
luego_dedefecar_entierra,entierra sus deposiciones en el campo abierto,buries feces in open field,1,Yes,0,No,99,Sometimes,
,,,,,,,,,
luego_dedefecar_lavamano,se lava las manos luego de realizar sus deposiciones,washes hands after defecating,1,Yes,0,No,99,Sometimes,
,,,,,,,,,
